titleId,originalTitle,releaseYear,mainCountry,firstLanguage,genres,imdbRating,numberOfVotes,arthouse_score
tt9359180,Scapegoat,2024.0,SE,,"Crime, Drama",7.0,22.0,3
tt32249170,Darklands: Are you ready to go deep?,2024.0,BE,nl,Documentary,9.3,7.0,3
tt16429138,Elsker dig i skjul,2021.0,DK,da,Drama,7.4,10.0,4
tt5224490,Teatro alla Scala: Il tempio delle meraviglie,2015.0,IT,it,Documentary,7.0,29.0,4
tt11393948,Epicentro,2020.0,AT,es,Documentary,6.8,304.0,8
tt3440246,La Bohème,2010.0,GB,it,"Drama, Musical, Romance",7.6,17.0,2
tt2296821,Kathleen Ferrier,2012.0,BE,fr,"Documentary, Biography, Music",7.0,13.0,3
tt4411878,Andrea Chénier: Live from the Royal Opera House,2015.0,GB,it,"History, Musical, Romance",8.1,27.0,4
tt5004582,"Vivir para Dibujar, Dibujar para Vivir",2015.0,ES,es,Documentary,7.0,5.0,4
tt0040222,Cenerentola,1949.0,IT,it,"Comedy, Music, Romance",7.0,20.0,5
tt11044866,Digital Addicts,2018.0,FR,fr,Documentary,7.1,18.0,3
tt7876312,Ceres,2018.0,BE,nl,Documentary,7.3,32.0,7
tt29537383,I peripeteia tou vlemmatos,2023.0,GR,el,Drama,8.3,7.0,3
tt12397822,Thinking Nietzsche,2018.0,AT,de,Documentary,8.5,7.0,4
tt1215487,The Unwinking Gaze: The Inside Story of the Dalai Lama's Struggle for Tibet,2008.0,GB,en,Documentary,7.3,66.0,6
tt9843292,Fisch lernt fliegen,2019.0,DE,de,Drama,7.5,11.0,6
tt0472521,Espelho Mágico,2005.0,PT,fr,"Drama, Music",6.7,378.0,9
tt5227524,Habaneros,2017.0,GB,es,Documentary,7.5,108.0,6
tt1179757,Anadysi,2007.0,GR,el,"Documentary, Sport",9.0,18.0,4
tt0227386,Ring,1978.0,IT,it,Drama,7.0,19.0,3
tt13893676,Vidas menores,2020.0,ES,es,Documentary,7.3,13.0,6
tt7713032,Beerput Nederland,2017.0,NL,nl,Documentary,7.1,14.0,4
tt0193239,Ils étaient neuf célibataires,1939.0,FR,fr,"Comedy, Romance",7.0,290.0,6
tt2929890,L'homme qu'on aimait trop,2014.0,FR,fr,"Crime, Drama",6.1,1917.0,9
tt0056734,Älä nuolase...,1962.0,FI,fi,"Comedy, Crime, Romance",7.0,134.0,7
tt0442442,Rejas en la memoria,2004.0,ES,it,Documentary,8.1,18.0,4
tt0318805,"Versailles, la visite",1999.0,FR,fr,Documentary,7.8,23.0,5
tt1693928,Sneaker Stories,2008.0,AT,de,Documentary,7.8,8.0,3
tt0093138,Hamlet,1987.0,GB,,Drama,7.1,9.0,2
tt5212084,Should I Stay or Should I Go?,2015.0,DE,de,"Drama, Romance",8.5,10.0,2
