titleId,aggregateRating,totalVotes,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
tt5855772,6.2,4811.0,320.0,158.0,194.0,327.0,572.0,1015.0,1004.0,617.0,280.0,324.0
tt0057986,5.6,4027.0,82.0,63.0,179.0,395.0,977.0,1317.0,587.0,183.0,69.0,175.0
tt0401711,7.2,76310.0,931.0,503.0,829.0,1583.0,3943.0,10341.0,21841.0,20389.0,9072.0,6878.0
tt3077214,6.9,46349.0,988.0,256.0,348.0,900.0,2830.0,8976.0,15934.0,9248.0,3262.0,3607.0
tt0482088,7.0,34208.0,273.0,200.0,374.0,736.0,2041.0,5897.0,11503.0,7434.0,3079.0,2671.0
tt0080503,5.7,6458.0,256.0,241.0,374.0,573.0,1008.0,1457.0,1146.0,649.0,261.0,493.0
tt0243232,6.3,2517.0,136.0,76.0,85.0,108.0,214.0,372.0,396.0,298.0,189.0,643.0
tt8361898,6.8,24.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0
tt0054416,6.3,3840.0,65.0,31.0,65.0,196.0,526.0,1087.0,1039.0,387.0,99.0,345.0
tt0112896,5.9,48709.0,1134.0,1312.0,2402.0,4243.0,8200.0,11035.0,8685.0,4936.0,2125.0,4637.0
tt2304771,7.1,30023.0,613.0,123.0,206.0,441.0,1443.0,4674.0,10216.0,6973.0,2500.0,2834.0
tt2925810,6.5,24.0,11.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,4.0
tt1794886,5.9,2986.0,80.0,52.0,92.0,219.0,551.0,839.0,611.0,280.0,114.0,148.0
tt0897431,4.9,382.0,33.0,19.0,35.0,57.0,87.0,62.0,25.0,22.0,7.0,35.0
tt2774262,6.7,57.0,10.0,1.0,1.0,4.0,5.0,6.0,9.0,3.0,0.0,18.0
tt1854236,6.5,15414.0,292.0,151.0,283.0,610.0,1538.0,3845.0,4686.0,2388.0,833.0,788.0
tt1426362,6.9,3409.0,142.0,46.0,60.0,108.0,216.0,527.0,1076.0,788.0,204.0,242.0
tt0419677,7.5,62798.0,627.0,343.0,506.0,938.0,2170.0,5501.0,13096.0,18675.0,11330.0,9612.0
tt0455824,6.6,133506.0,2903.0,2028.0,3258.0,5991.0,13116.0,26840.0,35987.0,22596.0,9915.0,10872.0
tt0069427,6.6,7456.0,116.0,79.0,142.0,284.0,792.0,1788.0,2195.0,1175.0,373.0,512.0
tt8368408,6.1,55516.0,1814.0,1144.0,1898.0,3586.0,7655.0,13537.0,12631.0,6900.0,2588.0,3763.0
tt1935302,4.3,11677.0,1309.0,1017.0,1581.0,2219.0,2170.0,1483.0,843.0,490.0,149.0,416.0
tt2639254,6.5,26765.0,376.0,232.0,446.0,1030.0,2919.0,6709.0,7554.0,3983.0,1570.0,1946.0
tt1139328,7.2,176431.0,1556.0,857.0,1445.0,3258.0,8825.0,26570.0,58910.0,49521.0,16372.0,9117.0
tt0040416,7.5,19822.0,309.0,172.0,231.0,446.0,834.0,1893.0,4123.0,6202.0,2799.0,2813.0
tt4074928,5.9,5722.0,214.0,126.0,248.0,448.0,950.0,1442.0,1160.0,660.0,223.0,251.0
tt6436874,6.1,17507.0,1059.0,420.0,661.0,1219.0,2286.0,3914.0,3728.0,2234.0,882.0,1104.0
