titleId,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries
tt0039195,129815.0,1500000.0,0.0,0.5942,6.0,24.0,en,"Young, lovely, passionately beautiful ... and her love was as wild and tempestuous as her name !",Released,English,GB
tt5855772,399056.0,9900000.0,0.0,1.0537,5.824,94.0,hu,,Released,"German, Hungarian","FR, HU"
tt0057986,39044.0,0.0,0.0,1.047,5.478,90.0,en,It Lives Again To Kill Again!,Released,English,GB
tt0401711,2266.0,13000000.0,17489601.0,2.0378,6.763,817.0,fr,Fall in love with Paris 18 times.,Released,"Spanish, French, English, Mandarin, Arabic",FR
tt3077214,245168.0,14000000.0,16002420.0,3.1201,7.191,1664.0,en,Mothers. Daughters. Rebels.,Released,English,"FR, GB"
tt0482088,6691.0,10000000.0,28041861.0,1.052,6.388,767.0,fr,She only dated men with money... until she met a man with a heart.,Released,"English, French",FR
tt0080503,28679.0,0.0,0.0,0.6661,5.837,144.0,it,Anything Could Happen… Everything Did!,Released,"English, Italian",IT
tt0243232,16405.0,0.0,0.0,1.5294,5.3,30.0,en,,Released,"English, German, Macedonian, Turkish","DE, IT, MK, ES, CH, GB, US"
tt8361898,,,,,,,,,,,
tt0054416,3025.0,0.0,0.0,0.6836,6.119,130.0,en,LIKE NOTHING YOU HAVE EVER SEEN!,Released,English,GB
tt0112896,12110.0,30000000.0,10772144.0,2.9555,6.06,1085.0,en,You'll laugh until you die...then you'll rise from the dead and laugh again!,Released,English,"FR, US"
tt2304771,192136.0,35000000.0,27985788.0,2.2624,6.877,566.0,en,It is an ideal for which I am prepared to die.,Released,"English, Afrikaans, Xhosa","FR, ZA, GB, US"
tt2925810,,,,,,,,,,,
tt1794886,93230.0,0.0,0.0,0.4666,6.074,47.0,sv,The truth can be deadly.,Released,"Spanish, English, Swedish",SE
tt0897431,157209.0,0.0,0.0,0.6653,4.5,12.0,it,,Released,Italian,IT
tt2774262,398586.0,0.0,0.0,0.439,6.5,1.0,en,Five People. Five Lives. One Story. In England,Released,English,GB
tt1854236,126250.0,5500000.0,16722143.0,0.9242,5.988,293.0,da,It started when everything was over.,Released,"Danish, Italian, English","DK, FR, IT, JP, SE, DE"
tt1426362,58251.0,0.0,20728.0,2.1225,6.6,55.0,en,Go Get Some Rosemary.,Released,English,"FR, US"
tt0419677,12877.0,0.0,0.0,1.2814,7.11,587.0,en,He's in all of us.,Released,English,GB
tt0455824,6972.0,130000000.0,211787511.0,3.5105,6.581,2421.0,en,Welcome to Australia!,Released,"Mandarin, English, Japanese","AU, GB, US"
tt0069427,28801.0,0.0,0.0,1.0079,6.731,154.0,en,Which is the Virgin? Which is the Vampire?,Released,English,GB
tt8368408,574060.0,30000000.0,1015760.0,2.7745,6.272,1128.0,en,Revenge is best served ice cold.,Released,"English, Russian","FR, DE, US"
tt1935302,145221.0,0.0,306004.0,1.4666,4.732,382.0,en,Fear has evolved,Released,English,GB
tt2639254,283227.0,0.0,10084623.0,1.9711,6.3,685.0,en,From incredible passion grows incredible beauty.,Released,English,"GB, US"
tt1139328,11439.0,45000000.0,60300000.0,2.406,6.818,2409.0,en,Read between the lies.,Released,English,"FR, DE, GB"
tt0040416,23383.0,750000.0,0.0,1.4427,7.438,284.0,en,The motion picture of all time ... for all time!,Released,English,GB
tt4074928,399612.0,10000000.0,0.0,1.733,6.021,214.0,es,Immortality is only a matter of time.,Released,English,"BE, FR, ES"
tt6436874,,,,,,,,,,,
tt1981107,157841.0,33000000.0,9494789.0,1.9785,6.877,876.0,en,Discover the extravagant journey.,Released,English,"CA, FR"
tt0075617,14336.0,0.0,0.0,0.8427,6.6,81.0,en,"Frontstage, Backstage & On The Road - Take The Tour",Released,"English, Swedish","AU, SE"
tt0103939,10435.0,31000000.0,9493259.0,2.6456,7.42,1182.0,en,Everyone has a wild side. Even a legend.,Released,English,"FR, IT, GB, US"
tt0065524,24570.0,0.0,0.0,0.6006,5.7,47.0,en,Their Mating Game is a Riot!,Released,English,GB
tt0076504,12707.0,17500000.0,14717854.0,2.5653,6.179,453.0,en,Terror just beneath the surface.,Released,English,"IT, NL"
tt1103275,10362.0,9800000.0,16303643.0,1.9233,6.865,910.0,en,Sometimes we leave everything to find ourselves.,Released,English,"US, FR"
tt0352230,25911.0,0.0,0.0,1.9431,5.151,43.0,es,,Released,"Basque, French, Spanish","IT, ES, GB"
tt4615248,,,,,,,,,,,
tt1250777,23483.0,28000000.0,96188903.0,7.142,7.123,12251.0,en,Shut up. Kick-ass.,Released,English,"GB, US"
tt0202381,10482.0,0.0,0.0,1.1685,6.045,144.0,en,Pay to check in... pray to check out!,Released,English,GB
tt0100881,30871.0,0.0,0.0,0.3783,5.41,50.0,it,,Released,Italian,IT
tt0289765,9533.0,78000000.0,209196298.0,1.6886,7.038,4641.0,en,"To understand the origin of evil, you must go back to the beginning.",Released,"English, French","DE, IT, US"
tt1263750,48650.0,0.0,844281.0,3.544,6.411,816.0,es,A night of passion that will change their lives.,Released,"Basque, Italian, Russian, Spanish, English","ES, FR"
tt0053994,43037.0,0.0,0.0,0.9234,6.6,28.0,en,,Released,"English, Gaelic",US
tt1059786,13027.0,80000000.0,178800000.0,5.8962,6.485,3066.0,en,"If you want to live, you will obey.",Released,English,"DE, GB, US"
tt0062133,18879.0,0.0,0.0,0.7432,6.145,31.0,en,You'll splinter your sides laughing at this classic of all comedies,Released,English,GB
tt0091530,11416.0,24500000.0,17200000.0,3.3302,7.39,1516.0,en,One will trust in the power of prayer. One will believe in the might of the sword.,Released,"English, Guarani, Latin, Spanish",GB
tt0462499,7555.0,50000000.0,113200000.0,7.4469,6.69,4201.0,en,"Live for nothing, or die for something.",Released,"English, Burmese, Thai","US, DE, TH"
tt0048673,50363.0,1100000.0,6500000.0,1.3556,6.744,166.0,en,All the pent-up yearning of her life was finally fulfilled ... amid the splendor of the world's most fabulous city!,Released,"English, Italian","GB, US"
tt0071200,40218.0,0.0,0.0,4.5973,5.369,84.0,en,One of these eight people will turn into a werewolf. Can you guess who it is when we stop the film for the WEREWOLF BREAK? See it ... solve it ... but don't tell!,Released,English,GB
tt8745676,821881.0,0.0,0.0,2.7687,7.447,629.0,en,,Released,"German, Arabic",GB
tt0067656,5486.0,0.0,0.0,1.4061,6.561,421.0,it,"They came to play, they stayed to die.",Released,Italian,IT
tt0086034,700.0,27500000.0,187500000.0,5.756,6.352,2175.0,en,James Bond’s all time high!,Released,"German, English, Russian, Spanish",GB
tt0457513,512.0,4000000.0,39220946.0,4.5186,6.6,1715.0,en,The perfect man. The perfect story. The perfect murder.,Released,English,"GB, US"
tt0075793,42269.0,0.0,0.0,2.1514,8.289,633.0,it,A many splendored thing.,Released,Italian,IT
tt0179182,18553.0,17000000.0,0.0,1.3663,5.255,55.0,en,Some desires are too dangerous to resist.,Released,English,"US, GB"
tt2190984,,,,,,,,,,,
tt1016241,43737.0,2300000.0,0.0,0.6745,4.8,32.0,en,Don't be Frightened. You're Safe Here,Released,English,GB
tt2323372,308980.0,0.0,0.0,1.1382,7.1,32.0,et,Life is f****d. hit reset.,Released,Estonian,EE
tt0410764,11559.0,12000000.0,566611.0,2.5186,6.51,604.0,en,The squirrels made it seem less lonely,Released,English,"CA, GB"
tt6938982,,,,,,,,,,,
tt0058182,704.0,560000.0,11000000.0,1.5579,7.3,728.0,en,"The Beatles, starring in their first full-length, hilarious, action-packed film!",Released,"German, French, English",GB
tt11260832,721048.0,9535827.0,0.0,1.3378,6.3,41.0,hi,,Released,Hindi,IN
tt8623904,549053.0,30000000.0,121600000.0,2.6294,7.192,2621.0,en,Who doesn't have a little Christmas baggage?,Released,"Mandarin, Croatian, English, French",GB
tt8337332,,,,,,,,,,,
tt0458413,141043.0,0.0,7176347.0,1.3736,6.2,922.0,en,Life is looking up.,Released,English,"GB, DE"
